  ID       E_NAME            cluster      X(m)         Y(m)         Z(m)
021081  OGATA                  A5    -3548107.437  4018662.600  3444728.563
021082  UME                    A5    -3563055.640  4009045.354  3440318.711
021083  MOROTSUKA              A5    -3557709.569  4040444.298  3410401.948
021084  TOUGOU                 A5    -3580995.398  4035779.220  3390163.627
021085  SAITO                  A5    -3572337.366  4059515.479  3370975.771
021086  AYA                    A5    -3570017.611  4070186.213  3360633.684
021087  MIYAKONOJOU2           A5    -3555221.692  4093138.990  3349143.781
021088  MIYAZAKI               A5    -3593669.473  4066183.056  3340302.006
021089  HAYATO                 A5    -3542873.408  4113786.576  3336332.895
021090  OOSUMI                 A5    -3568573.098  4105419.266  3319459.083
021091  KINPOU                 A5    -3525416.859  4151142.496  3308605.818
021092  KIIRE                  A5    -3542690.913  4142012.308  3301719.011
021093  OONEJIME               A5    -3571378.091  4127697.950  3289044.278
021094  YONASHIRO              A5    -3519531.788  4505820.639  2817493.103
021095  CHATAN                 A5    -3503365.934  4522969.729  2810177.971
021096  NAHA                   A5    -3500369.877  4532605.656  2798439.130
021098  MINAMITORISHIMA        A3    -5227188.189  2551880.213  2607617.823
021099  NORIKURADAKE           C2    -3808044.429  3483218.370  3740109.821
021100  FUJISAN                C3    -3916086.377  3437060.867  3672792.149
021101  DAIAN-A                C4    -3789507.290  3595635.975  3647474.330
022005  SHINTOTSUKAWA-A        C1    -3642161.183  2861487.900  4370351.356
022006  TSUKUBA2-A             C3    -3957184.116  3310231.723  3737703.975
029056  T-OOKOSHI              A3    -4079567.184  3453894.529  3468306.667
029057  T-NISHIMI              A3    -4082819.746  3453850.834  3464467.476
029058  M-TAKASU               A3    -3911284.351  3488256.114  3623100.707
029059  M-NISSAKA              A3    -3900872.853  3503364.610  3619839.992
029060  M-TOUKAIKICHI          A3    -3900121.696  3508131.835  3616076.674
029061  M-IWATA                A3    -3890568.792  3521855.890  3612972.243
029062  M-HAGIMA               A3    -3911557.347  3499506.127  3612007.843
029063  M-OOSUGA               A3    -3901437.990  3514199.154  3608698.185
02P101  P-OSHORO               A1    -3611192.708  2939102.349  4344522.870
02P102  P-OKUSHIRI             A1    -3604633.192  3079823.665  4252131.495
02P103  P-ASAMUSHI             A1    -3744649.039  3047623.219  4153854.239
02P104  P-OGA                  A1    -3734879.269  3167020.489  4073088.635
02P105  P-NEZUGASEKI           A1    -3799858.571  3240117.782  3954557.900
02P106  P-SOUMA                A2    -3917847.735  3176869.120  3890656.715
02P107  P-KATSUURA             A3    -4015023.757  3339324.733  3649638.318
02P108  P-ABURATSUBO           A3    -3976337.773  3382270.281  3652431.756
02P109  P-OGI                  A2    -3765763.717  3357383.954  3889248.764
02P110  P-KASHIWAZAKI          A2    -3802287.072  3362972.213  3848948.228
02P111  P-WAJIMA               A2    -3703988.306  3466091.713  3853284.797
02P112  P-MIKUNI               A4    -3713434.119  3567423.320  3751032.921
02P113  P-ITOU                 A3    -3960457.617  3426670.239  3628389.895
02P114  P-TAGO                 A3    -3942545.052  3455790.733  3620325.048
02P115  P-YAIZU                A3    -3913066.464  3483057.962  3626131.189
02P116  P-ONISAKI              A2    -3818785.822  3583089.304  3629161.399
02P117  P-KAINAN               A4    -3749061.909  3724079.443  3559716.553
02P118  P-TAJIRI               A4    -3627486.556  3715156.390  3691650.131
02P119  P-SUSA                 A5    -3488617.368  3928682.680  3603969.740
02P120  P-KURE                 A4    -3654514.407  3885746.119  3484943.862
